"","Date","Station","Total Rides","Usertype","Gender","Temp_Max","Temp_Avg","Temp_Min","Dew_Max","Dew_Avg","Dew_Min","Hum_Max","Hum_Avg","Hum_Min","Wind_Max","Wind_Avg","Wind_Min","Pressure_Max","Pressure_Avg","Pressure_Min","Precipitation_Total","is_weekend","is_holiday"
"62","2018-10-02","St. Nicholas Ave & W 126 St",45,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"63","2018-10-02","Frederick Douglass Blvd & W 112 St",62,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"64","2018-10-02","Morningside Dr & Amsterdam Ave",14,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"65","2018-10-02","W 116 St & Broadway",57,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"66","2018-10-02","Broadway & Moylan Pl",36,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"67","2018-10-02","Pleasant Ave & E 120 St",25,"Subscriber",2,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"68","2018-10-02","Mt Morris Park W & W 120 St",22,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"69","2018-10-02","2 Ave & E 122 St",24,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"70","2018-10-02","St Nicholas Ave & Manhattan Ave",48,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"71","2018-10-02","E 115 St & Madison Ave",23,"Customer",0,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"72","2018-10-02","Adam Clayton Powell Blvd & W 118 St",24,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"73","2018-10-02","3 Ave & E 112 St",23,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"74","2018-10-02","W 129 St & Convent Ave",20,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"75","2018-10-02","E 116 St & 2 Ave",16,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"76","2018-10-02","E 114 St & 1 Ave",23,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"77","2018-10-02","Pleasant Ave & E 116 St",53,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"78","2018-10-02","Lenox Ave & W 126 St",54,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
